EstablecimientoCodigoAntiguo;EstablecimientoCodigo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;EstablecimientoGlosa;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion;FechaCierre
;201104;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;INNOVATION HEALTH;No Aplica;Privado;Primario;13114;Las Condes;Avenida;4100;Avda. Apoquindo (Oficina 701);56 930503578;28-05-2021;NO;No Aplica;No Aplica;;;Privado;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;;24-05-2025
;201135;;;04;Coquimbo;04;SEREMI de Salud de Coquimbo;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico RedMedical;No Aplica;Privado;Secundario;04101;La Serena;Calle;1748;Los Perales;991338044;02-06-2021;NO;No Aplica;No Aplica;;;Privado;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;29-11-2022;28-02-2025
;201176;;;09;La Araucanía;09;SEREMI de Salud de La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Turistik S.A.;No Aplica;Privado;Primario;09101;Temuco;Calle;630;Andrés Bello 630;934210133;04-02-2021;NO;No Aplica;No Aplica;-38.741226;-72.593563;Privado;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;23-03-2022;10-07-2025
;201394;;;09;La Araucanía;09;SEREMI de Salud de La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Integral Imagínate Ltda.;No Aplica;Privado;Secundario;09101;Temuco;Calle;420;Holandesa;45-2755255;20-10-2021;NO;No Aplica;No Aplica;-38.738562;-72.608543;Privado;Cerrado;Mediana Complejidad;Atención Abierta-Ambulatoria;13-06-2023;29-05-2025
;201397;11-301;111301;13;Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Unidad de Atención;Punto de vacunacion Minsal;No Aplica;Servicio de Salud;Primario;13101;Santiago;Calle;670;Huérfanos;225688128;22-06-2023;NO;No Aplica;No Aplica;-33.43926;-70.646257;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;20-06-2023;30-01-2026
;201406;;;04;Coquimbo;04;SEREMI de Salud de Coquimbo;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diálisis;Establecimiento de Salud;CENTRO DIALISIS VICUÑA;No Aplica;Privado;No Aplica;04106;Vicuña;Pasaje;475;Pedro Contreras;(51)2411486;29-08-2008;NO;No Aplica;No Aplica;-30.030569;-70.711456;Privado;Cerrado;Mediana Complejidad;Atención Abierta-Ambulatoria;28-08-2023;18-03-2026
;201407;;;04;Coquimbo;04;SEREMI de Salud de Coquimbo;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diálisis;Establecimiento de Salud;CLINIDIAL OVALLE;No Aplica;Privado;No Aplica;04301;Ovalle;Calle;140;Tangue;(53)2621802;08-05-2006;NO;No Aplica;No Aplica;-30.605202;-71.198745;Privado;Cerrado;Mediana Complejidad;Atención Abierta-Ambulatoria;28-08-2023;25-08-2025
;201408;;;04;Coquimbo;04;SEREMI de Salud de Coquimbo;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diálisis;Establecimiento de Salud;CENTRO DIALISIS OSMODIAL;No Aplica;Privado;No Aplica;04102;Coquimbo;Calle;171;Ossandón;(51)2319035;26-04-2001;NO;No Aplica;No Aplica;-29.96106;-71.341737;Privado;Cerrado;Mediana Complejidad;Atención Abierta-Ambulatoria;28-08-2023;25-08-2025
;201409;;;04;Coquimbo;04;SEREMI de Salud de Coquimbo;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diálisis;Establecimiento de Salud;NEPHROCARE TIERRAS BLANCAS;No Aplica;Privado;No Aplica;04102;Coquimbo;Avenida;855;Presidente Arturo Alessandri;(51)226172210;26-11-2018;NO;No Aplica;No Aplica;-29.969308;-71.33808;Privado;Cerrado;Mediana Complejidad;Atención Abierta-Ambulatoria;28-08-2023;25-08-2025
;201420;;;04;Coquimbo;04;SEREMI de Salud de Coquimbo;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio de Biología Molecular BlueLab;No Aplica;Privado;No Aplica;04101;La Serena;Calle;1708;Raúl Bitrán;;30-12-2021;NO;No Aplica;No Aplica;;;Privado;Cerrado;No Aplica;Atención Abierta-Ambulatoria;30-08-2023;27-01-2025
