Region;Servicio de salud;Comuna;Establecimiento;CodigoEstablecimiento;Mes;Numerador;Denominador;PorcentajeCumplimiento
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;8;10;4;250.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;9;12;7;171.43
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;10;0;4;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;11;18;4;450.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;12;4;2;200.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;1;0;4;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;2;0;4;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;3;36;8;450.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;4;0;3;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;5;31;8;387.5
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;6;0;6;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;7;0;9;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;8;0;9;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;9;0;7;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;10;35;4;875.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;11;33;3;1100.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;12;37;5;740.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;1;0;41;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;2;0;43;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;3;38;37;102.7
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;4;46;52;88.46
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;5;32;47;68.09
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;6;36;35;102.86
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;7;38;42;90.48
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;8;43;40;107.5
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;9;38;31;122.58
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;10;14;34;41.18
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;11;40;58;68.97
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;12;24;40;60.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;1;70;40;175.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;2;84;46;182.61
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;3;59;40;147.5
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;4;87;44;197.73
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;5;69;57;121.05
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;6;108;30;360.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;7;4;39;10.26
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;8;74;32;231.25
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;9;36;50;72.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;10;68;52;130.77
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;11;67;67;100.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;12;84;26;323.08
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Montt;103306;1;0;25;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Montt;103306;2;0;18;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Montt;103306;3;0;19;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Montt;103306;4;9;38;23.68
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Montt;103306;5;14;24;58.33
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Montt;103306;6;10;27;37.04
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Montt;103306;7;11;26;42.31
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Montt;103306;8;12;26;46.15
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Montt;103306;9;17;13;130.77
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Montt;103306;10;4;33;12.12
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Montt;103306;11;13;28;46.43
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Montt;103306;12;13;22;59.09
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Norponiente;103312;1;0;21;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Norponiente;103312;2;0;16;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Norponiente;103312;3;7;24;29.17
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Norponiente;103312;4;36;13;276.92
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Norponiente;103312;5;19;11;172.73
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Norponiente;103312;6;4;14;28.57
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Norponiente;103312;7;9;20;45.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Norponiente;103312;8;37;28;132.14
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Norponiente;103312;9;1;22;4.55
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Norponiente;103312;10;9;19;47.37
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Norponiente;103312;11;5;5;100.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Norponiente;103312;12;2;17;11.76
Antofagasta;Servicio de Salud Antofagasta;Calama;Posta de Salud Rural Ayquina;103409;1;0;1;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Posta de Salud Rural Chiu-Chiu;103410;2;0;1;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Posta de Salud Rural Chiu-Chiu;103410;4;0;1;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Posta de Salud Rural Chiu-Chiu;103410;6;0;3;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Posta de Salud Rural Chiu-Chiu;103410;11;0;2;0.0
Antofagasta;Servicio de Salud Antofagasta;Maria Elena;Centro de Salud Familiar María Elena;103309;1;0;6;0.0
Antofagasta;Servicio de Salud Antofagasta;Maria Elena;Centro de Salud Familiar María Elena;103309;2;0;1;0.0
Antofagasta;Servicio de Salud Antofagasta;Maria Elena;Centro de Salud Familiar María Elena;103309;3;0;5;0.0
Antofagasta;Servicio de Salud Antofagasta;Maria Elena;Centro de Salud Familiar María Elena;103309;4;0;1;0.0
Antofagasta;Servicio de Salud Antofagasta;Maria Elena;Centro de Salud Familiar María Elena;103309;5;0;3;0.0
Antofagasta;Servicio de Salud Antofagasta;Maria Elena;Centro de Salud Familiar María Elena;103309;6;0;4;0.0
Antofagasta;Servicio de Salud Antofagasta;Maria Elena;Centro de Salud Familiar María Elena;103309;7;0;2;0.0
Antofagasta;Servicio de Salud Antofagasta;Maria Elena;Centro de Salud Familiar María Elena;103309;8;0;4;0.0
Antofagasta;Servicio de Salud Antofagasta;Maria Elena;Centro de Salud Familiar María Elena;103309;9;0;5;0.0
