Region;Servicio de salud;Comuna;Establecimiento;CodigoEstablecimiento;Numerador;Denominador;PorcentajeCumplimiento
Coquimbo;Servicio de Salud Coquimbo;Salamanca;Posta de Salud Rural Cunlagua;105454;1;0;
Coquimbo;Servicio de Salud Coquimbo;Salamanca;Posta de Salud Rural Quelén Bajo;105491;7;2;350.0
Coquimbo;Servicio de Salud Coquimbo;Salamanca;Posta de Salud Rural Tahuinco;105458;4;4;100.0
Coquimbo;Servicio de Salud Coquimbo;Salamanca;Posta de Salud Rural Tranquilla;105453;1;2;50.0
Coquimbo;Servicio de Salud Coquimbo;Vicuña;Centro de Salud Familiar San Isidro Calingasta;200538;33;37;89.19
Coquimbo;Servicio de Salud Coquimbo;Vicuña;Hospital San Juan de Dios (Vicuña);105107;93;103;90.29
Coquimbo;Servicio de Salud Coquimbo;Vicuña;Posta de Salud Rural Chapilca;105474;2;2;100.0
Coquimbo;Servicio de Salud Coquimbo;Vicuña;Posta de Salud Rural Diaguitas;105467;3;4;75.0
Coquimbo;Servicio de Salud Coquimbo;Vicuña;Posta de Salud Rural El Molle;105468;4;6;66.67
Coquimbo;Servicio de Salud Coquimbo;Vicuña;Posta de Salud Rural El Tambo (Vicuña);105469;10;10;100.0
Coquimbo;Servicio de Salud Coquimbo;Vicuña;Posta de Salud Rural Gualliguaica;105509;1;1;100.0
Coquimbo;Servicio de Salud Coquimbo;Vicuña;Posta de Salud Rural Peralillo Vicuña;105471;11;11;100.0
Coquimbo;Servicio de Salud Coquimbo;Vicuña;Posta de Salud Rural Rivadavia;105472;2;3;66.67
Coquimbo;Servicio de Salud Coquimbo;Vicuña;Posta de Salud Rural Talcuna;105473;4;6;66.67
La Araucanía;Servicio de Salud Araucanía Norte;Angol;Centro Comunitario de Salud Familiar El Retiro;129703;20;23;86.96
La Araucanía;Servicio de Salud Araucanía Norte;Angol;Centro de Salud Familiar Alemania de Angol;129303;178;170;104.71
La Araucanía;Servicio de Salud Araucanía Norte;Angol;Centro de Salud Familiar Huequén;129301;73;90;81.11
La Araucanía;Servicio de Salud Araucanía Norte;Angol;Centro de Salud Familiar Piedra del Águila;129304;131;132;99.24
La Araucanía;Servicio de Salud Araucanía Norte;Angol;Posta de Salud Rural Colonia Manuel Rodríguez;129403;1;3;33.33
La Araucanía;Servicio de Salud Araucanía Norte;Angol;Posta de Salud Rural Coyanco;129401;0;1;0.0
La Araucanía;Servicio de Salud Araucanía Norte;Angol;Posta de Salud Rural Vegas Blancas;129400;0;1;0.0
La Araucanía;Servicio de Salud Araucanía Norte;Collipulli;Centro Comunitario de Salud Familiar Santa Mónica;200270;9;7;128.57
La Araucanía;Servicio de Salud Araucanía Norte;Collipulli;Hospital de Collipulli;129103;62;123;50.41
La Araucanía;Servicio de Salud Araucanía Norte;Collipulli;Posta de Salud Rural Amargo;129413;0;1;0.0
La Araucanía;Servicio de Salud Araucanía Norte;Collipulli;Posta de Salud Rural La Batalla;129412;2;1;200.0
La Araucanía;Servicio de Salud Araucanía Norte;Collipulli;Posta de Salud Rural Maica;129410;8;6;133.33
La Araucanía;Servicio de Salud Araucanía Norte;Collipulli;Posta de Salud Rural Mininco;129411;5;2;250.0
La Araucanía;Servicio de Salud Araucanía Norte;Curacautín;Hospital Dr. Oscar Hernández E.(Curacautín);129107;77;86;89.53
La Araucanía;Servicio de Salud Araucanía Norte;Curacautín;Posta de Salud Rural La Tepa;129443;2;2;100.0
La Araucanía;Servicio de Salud Araucanía Norte;Curacautín;Posta de Salud Rural Malalcahuello;129441;3;2;150.0
La Araucanía;Servicio de Salud Araucanía Norte;Curacautín;Posta de Salud Rural Rariruca;129446;2;1;200.0
La Araucanía;Servicio de Salud Araucanía Norte;Curacautín;Posta de Salud Rural Río Blanco (Curacautín);129442;1;1;100.0
La Araucanía;Servicio de Salud Araucanía Norte;Curacautín;Posta de Salud Rural Santa Ana;129444;1;1;100.0
La Araucanía;Servicio de Salud Araucanía Norte;Curacautín;Posta de Salud Rural Santa Julia;129588;1;2;50.0
La Araucanía;Servicio de Salud Araucanía Norte;Ercilla;Centro Comunitario de Salud Familiar Pailahueque;129432;6;6;100.0
La Araucanía;Servicio de Salud Araucanía Norte;Ercilla;Consultorio  Ercilla;129302;30;27;111.11
La Araucanía;Servicio de Salud Araucanía Norte;Ercilla;Posta de Salud Rural Temocuicui;129440;1;1;100.0
La Araucanía;Servicio de Salud Araucanía Norte;Lonquimay;Hospital de Lonquimay;129108;46;70;65.71
La Araucanía;Servicio de Salud Araucanía Norte;Lonquimay;Posta de Salud Rural  HUALLEN MAPU;201488;2;0;
La Araucanía;Servicio de Salud Araucanía Norte;Lonquimay;Posta de Salud Rural Icalma;129451;3;3;100.0
La Araucanía;Servicio de Salud Araucanía Norte;Lonquimay;Posta de Salud Rural Pedregoso (Lonquimay);129453;7;3;233.33
La Araucanía;Servicio de Salud Araucanía Norte;Los Sauces;Consultorio  Los Sauces;129102;48;48;100.0
La Araucanía;Servicio de Salud Araucanía Norte;Los Sauces;Posta de Salud Rural Trintre;129408;1;0;
La Araucanía;Servicio de Salud Araucanía Norte;Lumaco;Centro Comunitario de Salud Familiar Capitán Pastene;129705;4;5;80.0
La Araucanía;Servicio de Salud Araucanía Norte;Lumaco;Consultorio Lumaco;129105;24;18;133.33
La Araucanía;Servicio de Salud Araucanía Norte;Lumaco;Posta de Salud Rural Chanco;129426;1;1;100.0
