Mes;IdServicio;Ano;IdEstablecimiento;CodigoPrestacion;IdRegion;IdComuna;Col01;Col02;Col03;Col04;Col05;Col06;Col07;Col08;Col09;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32;Col33;Col34;Col35;Col36;Col37;Col38;Col39;Col40;Col41;Col42;Col43;Col44;Col45;Col46;Col47;Col48;Col49;Col50
4;21;2026;121114;01030100;9;9111;1;;;1;;;;;;;;;;;1;;1;;1;;;1;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4;21;2026;121114;01030300;9;9111;12;;;9;3;;;;;;12;;;;;;11;;12;;;11;11;0;5;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
3;21;2026;121114;29101728;9;9111;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;21;2026;121114;29101742;9;9111;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;21;2026;121114;29101742;9;9111;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;21;2026;121114;01030300;9;9111;12;;;9;3;;;;;;12;;;;;;12;0;11;0;0;11;11;0;6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
3;21;2026;121114;01030100;9;9111;1;;1;;;;;;;;;;;;;;1;;1;0;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
3;21;2026;121114;01030300;9;9111;12;;;9;3;;;;;;12;;;;;;12;;12;0;0;12;12;0;2;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;21;2026;121114;29101728;9;9111;3;0;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;21;2026;121114;29101742;9;9111;13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
